location,bedrooms,bath,size,price
"MotijheelExtension,Motijheel,Dhaka",3,2,1750,9500000
"MotijheelExtension,Motijheel,Dhaka",3,2,1615,9500000
"MotijheelExtension,Motijheel,Dhaka",3,2,1615,9500000
"Sector5,Uttara,Dhaka",2,2,807,5200000
"BlockG,BashundharaR-A,Dhaka",4,4,3100,40000000
"EastManiknagar,Maniknagar,Dhaka",3,3,1300,6600000
"EastManiknagar,Maniknagar,Dhaka",3,3,1300,6600000
"EastManiknagar,Maniknagar,Dhaka",3,3,1300,6600000
"Narinda,Sutrapur,Dhaka",12,10,3500,13000000
"AbdulAzizLane,Lalbagh,Dhaka",2,1,1260,32500000
"KhalifaGhat,Kamrangirchar,Dhaka",3,3,3600,48400000
"Bochila,Mohammadpur,Dhaka",6,6,2545,101000000
"Bochila,Mohammadpur,Dhaka",3,3,1600,7800000
"Bochila,Mohammadpur,Dhaka",3,3,1600,7800000
"Bochila,Mohammadpur,Dhaka",3,3,1600,7800000
"Bochila,Mohammadpur,Dhaka",3,3,1600,7800000
"Bochila,Mohammadpur,Dhaka",3,3,1600,7800000
"Bochila,Mohammadpur,Dhaka",3,3,1600,7800000
"Bochila,Mohammadpur,Dhaka",3,3,1600,7800000
"Bochila,Mohammadpur,Dhaka",3,3,1600,7800000
"EastRampura,Rampura,Dhaka",3,3,1100,6800000
"EastRampura,Rampura,Dhaka",2,2,950,5000000
"Pirerbag,Mirpur,Dhaka",4,3,1900,10000000
"Pirerbag,Mirpur,Dhaka",3,3,1400,8200000
"SouthMonipur,Mirpur,Dhaka",3,3,1250,6500000
"Pirerbag,Mirpur,Dhaka",3,3,1000,4000000
"BlockJ,BashundharaR-A,Dhaka",3,4,1695,13500000
"BlockJ,BashundharaR-A,Dhaka",3,4,1695,13500000
"BlockJ,BashundharaR-A,Dhaka",3,4,1695,13500000
"BlockJ,BashundharaR-A,Dhaka",3,4,1695,13500000
"KhilbariTek,Badda,Dhaka",3,3,1300,5460000
"Tikatuli,Sutrapur,Dhaka",3,3,1475,11000000
"NobodoyHousingSociety,Mohammadpur,Dhaka",3,3,1120,6500000
"BlockI,BashundharaR-A,Dhaka",7,8,9300,65000000
"Pirerbag,Mirpur,Dhaka",3,3,1400,8200000
"Pirerbag,Mirpur,Dhaka",3,3,1400,8200000
"MerulBadda,Badda,Dhaka",3,3,1250,6875000
"Tikatuli,Sutrapur,Dhaka",3,3,1425,11000000
"BaddaNagorLane,Hazaribag,Dhaka",2,2,850,2975000
"MerulBadda,Badda,Dhaka",3,3,1225,6737500
"MerulBadda,Badda,Dhaka",3,3,1050,5775000
"MerulBadda,Badda,Dhaka",3,3,1050,5775000
"MerulBadda,Badda,Dhaka",3,3,1225,6737500
"Pirerbag,Mirpur,Dhaka",3,3,1400,8400000
"Pirerbag,Mirpur,Dhaka",3,3,1400,8200000
"Bochila,Mohammadpur,Dhaka",3,3,1445,4000000
"Bochila,Mohammadpur,Dhaka",3,3,1445,4000000
"Bochila,Mohammadpur,Dhaka",3,3,1445,4000000
